iso3,country,year,gdp_current_usd,global_gdp_total,gdp_share,gdp_log,gdp_rank,gdp_share_change
USA,United States,1960,541988586206.897,1275737895100.353,0.4248432129267922,11.733990140782748,1,0.0
DEU,Germany,1960,84619845881.2608,1275737895100.353,0.06633011859744464,10.927472230012306,2,0.0
GBR,United Kingdom,1960,73233967692.1028,1275737895100.353,0.057405183285193555,10.864712564112363,3,0.0
FRA,France,1960,61959085885.3427,1275737895100.353,0.04856725360538798,10.792105001761797,4,0.0
CHN,China,1960,59846235024.7318,1275737895100.353,0.046911074174859506,10.777036833783107,5,0.0
JPN,Japan,1960,47419238274.4619,1275737895100.353,0.037170047590952666,10.675954573348307,6,0.0
ITA,Italy,1960,42012422612.3955,1275737895100.353,0.03293186066961716,10.62337772550037,7,0.0
CAN,Canada,1960,40563768946.9503,1275737895100.353,0.03179631890119518,10.608138300290229,8,0.0
IND,India,1960,37029883876.1839,1275737895100.353,0.029026247490493356,10.568552350126364,9,0.0
AUS,Australia,1960,18635682981.7093,1275737895100.353,0.014607767828550212,10.270345313899742,10,0.0
BRA,Brazil,1960,17030465539.3906,1275737895100.353,0.013349501966507735,10.231226519860725,11,0.0
SWE,Sweden,1960,15930075466.8898,1275737895100.353,0.012486950123588431,10.202217833225875,12,0.0
ARG,Argentina,1960,15865474315.4056,1275737895100.353,0.012436311860248989,10.200453060330798,13,0.0
NLD,Netherlands,1960,13282979014.563,1275737895100.353,0.01041199690436265,10.123295486515172,14,0.0
MEX,Mexico,1960,13040000000.0,1275737895100.353,0.01022153535619026,10.115277591395902,15,0.0
ESP,Spain,1960,12424514013.7604,1275737895100.353,0.009739080465884455,10.094279410260908,16,0.0
BEL,Belgium,1960,11810619368.3874,1275737895100.353,0.009257872964147032,10.072272673330678,17,0.0
CHE,Switzerland,1960,10412232620.5258,1275737895100.353,0.00816173342542807,10.017543862153508,18,0.0
ZAF,South Africa,1960,8748596500.5614,1275737895100.353,0.0068576754944425404,9.941938386627887,19,0.0
VEN,"Venezuela, RB",1960,7663938303.07171,1275737895100.353,0.0060074552402230265,9.884451999887899,20,0.0
TUR,Turkiye,1960,7566666666.66667,1275737895100.353,0.005931207888177889,9.87890460247346,21,0.0
PHL,Philippines,1960,7515894110.56487,1275737895100.353,0.005891409308628908,9.875980652812027,22,0.0
AUT,Austria,1960,6624086313.14334,1275737895100.353,0.0051923567831480555,9.821125982755937,23,0.0
DNK,Denmark,1960,6361166544.50349,1275737895100.353,0.00498626447402278,9.803536766180526,24,0.0
NZL,New Zealand,1960,5536098360.49526,1275737895100.353,0.004339526466805923,9.743203797677177,25,0.0
FIN,Finland,1960,5279481824.12983,1275737895100.353,0.004138375009793475,9.722591299055692,26,0.0
NOR,Norway,1960,5197398721.41367,1275737895100.353,0.004074033342879439,9.715786035250312,27,0.0
BGD,Bangladesh,1960,4274894083.33333,1275737895100.353,0.003350918789628849,9.63092535892531,28,0.0
GRC,Greece,1960,4274890306.82895,1275737895100.353,0.0033509158293778484,9.630924975263001,29,0.0
CHL,Chile,1960,4211103676.74027,1275737895100.353,0.003300916036839223,9.624395933816828,30,0.0
EGY,"Egypt, Arab Rep.",1960,4206270352.22633,1275737895100.353,0.0032971273867313106,9.623897182926317,31,0.0
IRN,"Iran, Islamic Rep.",1960,4199134389.9037,1275737895100.353,0.0032915337907818316,9.623159774104392,32,0.0
NGA,Nigeria,1960,4196174501.5302,1275737895100.353,0.003289213652464339,9.622853540407085,33,0.0
COL,Colombia,1960,4031152976.63904,1275737895100.353,0.003159859867862543,9.605429279336278,34,0.0
KOR,"Korea, Rep.",1960,3973069306.93069,1275737895100.353,0.003114330398265827,9.599126141031961,35,0.0
PAK,Pakistan,1960,3749265014.69971,1275737895100.353,0.0029388991493466475,9.573946139368982,36,0.0
COD,"Congo, Dem. Rep.",1960,3359404117.64706,1275737895100.353,0.002633302757995442,9.526262250196988,37,0.0
PRT,Portugal,1960,3339150157.85605,1275737895100.353,0.0026174264875884895,9.52363594923167,38,0.0
ISR,Israel,1960,3070585807.33625,1275737895100.353,0.0024069096160968936,9.487221238221018,39,0.0
THA,Thailand,1960,2760750860.62197,1275737895100.353,0.0021640423720460243,9.441027216223068,40,0.0
DZA,Algeria,1960,2723615451.30098,1275737895100.353,0.0021349334073726273,9.435145789302648,41,0.0
TZA,Tanzania,1960,2651729807.38808,1275737895100.353,0.0020785851212638687,9.423529270434686,42,0.0
PER,Peru,1960,2571986572.12719,1275737895100.353,0.0020160775830248977,9.41026869688582,43,0.0
ECU,Ecuador,1960,2069464937.19791,1275737895100.353,0.00162217093742059,9.315858072577578,44,0.0
MAR,Morocco,1960,2037154741.93211,1275737895100.353,0.001596844265390315,9.309024019189062,45,0.0
IRL,Ireland,1960,1998550221.80554,1275737895100.353,0.00156658372341313,9.300715066170788,46,0.0
MYS,Malaysia,1960,1916229477.13657,1275737895100.353,0.0015020557784605388,9.282447516583074,47,0.0
SAU,Saudi Arabia,1960,1748124063.55556,1275737895100.353,0.001370284656644183,9.242572251070476,48,0.0
PRI,Puerto Rico (US),1960,1691900000.0,1275737895100.353,0.0013262128580627532,9.228374690421907,49,0.0
ETH,Ethiopia,1960,1610511693.84215,1275737895100.353,0.001262415814429862,9.20696388255694,50,0.0
IRQ,Iraq,1960,1537252193.09912,1275737895100.353,0.0012049906168054962,9.186745121297214,51,0.0
LKA,Sri Lanka,1960,1409873949.57983,1275737895100.353,0.0011051438975001409,9.149180286095799,52,0.0
HKG,"Hong Kong SAR, China",1960,1320796651.69457,1275737895100.353,0.0010353197602479879,9.12083595929137,53,0.0
URY,Uruguay,1960,1242289239.20493,1275737895100.353,0.0009737809341371083,9.094222723349578,54,0.0
GHA,Ghana,1960,1217230094.97205,1275737895100.353,0.0009541380715011992,9.085372681378145,55,0.0
SDN,Sudan,1960,1126364161.7644,1275737895100.353,0.0008829118944340813,9.051678823797708,56,0.0
ZWE,Zimbabwe,1960,1053528036.42755,1275737895100.353,0.0008258185638866489,9.022646097517693,57,0.0
GTM,Guatemala,1960,1043599900.0,1275737895100.353,0.0008180362941385445,9.018534028813148,58,0.0
SEN,Senegal,1960,1003692370.46869,1275737895100.353,0.0007867543751138136,9.001600622888523,59,0.0
SYR,Syrian Arab Republic,1960,857704413.407821,1275737895100.353,0.0006723202443871527,8.933337644791107,60,0.0
KEN,Kenya,1960,791265459.493816,1275737895100.353,0.00062024140110032,8.898322208216273,61,0.0
LUX,Luxembourg,1960,709941874.044355,1275737895100.353,0.0005564950894466524,8.85122279264137,62,0.0
SGP,Singapore,1960,704751700.302494,1275737895100.353,0.0005524267194767749,8.848036132335197,63,0.0
JAM,Jamaica,1960,699064380.374248,1275737895100.353,0.0005479686564607832,8.844517173962775,64,0.0
ZMB,Zambia,1960,698739720.783607,1275737895100.353,0.0005477141687702568,8.84431543200032,65,0.0
MDG,Madagascar,1960,673081724.751168,1275737895100.353,0.0005276018901188332,8.828067798924788,66,0.0
DOM,Dominican Republic,1960,672399700.0,1275737895100.353,0.0005270672781473714,8.827627511001262,67,0.0
CMR,Cameroon,1960,614206068.497266,1275737895100.353,0.00048145161389044643,8.788314103057646,68,0.0
CIV,Cote d'Ivoire,1960,546203559.344361,1275737895100.353,0.00042814716207939806,8.737354525899978,69,0.0
MMR,Myanmar,1960,545098447.640862,1275737895100.353,0.0004272809091384583,8.7364749452235,70,0.0
PAN,Panama,1960,537147100.0,1275737895100.353,0.00042104816519364,8.730093235364247,71,0.0
TTO,Trinidad and Tobago,1960,535673252.483535,1275737895100.353,0.0004198928749713102,8.728899961495472,72,0.0
NPL,Nepal,1960,508334413.965087,1275737895100.353,0.0003984630510055516,8.706149512199683,73,0.0
CRI,Costa Rica,1960,507513829.994855,1275737895100.353,0.0003978198279944742,8.705447881479069,74,0.0
HND,Honduras,1960,475650000.0,1275737895100.353,0.000372843043878213,8.67728750108277,75,0.0
NER,Niger,1960,449526873.29589,1275737895100.353,0.0003523661678643864,8.65275565952922,76,0.0
UGA,Uganda,1960,423145605.043164,1275737895100.353,0.00033168694499733286,8.626489834481012,77,0.0
LBY,Libya,1960,401644248.9423,1275737895100.353,0.0003148328904274695,8.603841552774574,78,0.0
BOL,Bolivia,1960,377020202.020202,1275737895100.353,0.00029553108320149455,8.576364621799513,79,0.0
BFA,Burkina Faso,1960,330442815.821186,1275737895100.353,0.0002590209298401318,8.519096314284427,80,0.0
SLE,Sierra Leone,1960,322009961.547048,1275737895100.353,0.00025241075207044607,8.507869307031223,81,0.0
TCD,Chad,1960,313582728.147574,1275737895100.353,0.0002458049802799867,8.49635213412473,82,0.0
PRY,Paraguay,1960,288884368.016934,1275737895100.353,0.00022644492189691483,8.460724042129202,83,0.0
HTI,Haiti,1960,273187200.0,1275737895100.353,0.0002141405386241273,8.436460346914338,84,0.0
ISL,Iceland,1960,260984498.826389,1275737895100.353,0.00020457532838738732,8.416614713184702,85,0.0
PNG,Papua New Guinea,1960,230496036.879366,1275737895100.353,0.00018067664036995197,8.362663462583718,86,0.0
NIC,Nicaragua,1960,227223322.141537,1275737895100.353,0.00017811128995557743,8.356452905197235,87,0.0
BEN,Benin,1960,226195578.434497,1275737895100.353,0.0001773056826980152,8.354484111286752,88,0.0
BDI,Burundi,1960,195999990.0,1275737895100.353,0.00015363656653358417,8.292256049198594,89,0.0
LBR,Liberia,1960,190495600.0,1275737895100.353,0.00014932189498456115,8.27988494894713,90,0.0
